# Nomina de emisores de valores de la CMF.
# fuente: https://www.cmfchile.cl/institucional/mercados/descargar_consulta?mercado=V&Estado=TO&entidad=RVEMI
# descargado: 2026-09-22
# filas: 1138
rut,dv,nombre,estado
90682000,5,LA COOP VIT ADMINISTRADORA DE FONDOS MUTUOS S.A.(EN LIQ),No Vigente
90687000,2,VIDRIOS LIRQUEN S.A.,No Vigente
90689000,3,CLUB HIPICO DE PEÑUELAS S.A.,No Vigente
90690000,9,EMPRESAS COPEC S.A.,Vigente
90693000,5,SOC AZUFRERA AUCANQUILCHA S.A. (LIQ),No Vigente
90701000,7,SOCIEDAD ANONIMA FRANCESA DE DEPORTES,Vigente
90703000,8,COMPAÑIA CHILENA DE PRODUCTOS ALIMENTICIOS SOCIEDAD ANONIMA COMERCIAL E INDUSTRIAL CHIPRODAL S.A.I.C.,No Vigente
90707000,K,EMPRESAS PIZARREÑO S.A.,No Vigente
90711000,1,"SOCIEDAD ANONIMA DE DEPORTES, CLUB DE GOLF SANTIAGO",Vigente
90743000,6,PROMOTORA CMR FALABELLA S.A.,No Vigente
90749000,9,FALABELLA S.A.,Vigente
90753000,0,CLINICA SANTA MARIA S.A.,No Vigente
90784000,K,INDUSTRIA DE RADIO Y TELEVISION S.A.,No Vigente
90805000,2,THE GRANGE SCHOOL S.A.,No Vigente
90806000,8,TEJEDURIA READI S.A.,No Vigente
90814000,1,TRES MARES S.A.,No Vigente
90818000,3,AXXION S.A. EN LIQUIDACIÓN,No Vigente
